area_fips,area_title,avg_emplvl_1990,avg_wkly_wage_1990,avg_emplvl_2015,avg_wkly_wage_2015,wage_pct_change
31025,"Cass County, Nebraska",3185,303,5184,668,1
31027,"Cedar County, Nebraska",2173,250,2684,605,1
31029,"Chase County, Nebraska",1402,261,1798,628,1
31031,"Cherry County, Nebraska",1531,231,2189,517,1
31033,"Cheyenne County, Nebraska",4066,277,5856,1131,3
31035,"Clay County, Nebraska",2078,316,2480,674,1
31037,"Colfax County, Nebraska",3486,293,5044,650,1
31039,"Cuming County, Nebraska",3278,271,3851,637,1
31041,"Custer County, Nebraska",3379,258,4212,652,1
31043,"Dakota County, Nebraska",11361,274,12250,691,1
31045,"Dawes County, Nebraska",2544,259,3281,547,1
31047,"Dawson County, Nebraska",7300,292,11314,624,1
31049,"Deuel County, Nebraska",622,258,548,536,1
31051,"Dixon County, Nebraska",1842,286,1702,584,1
31053,"Dodge County, Nebraska",12753,301,16766,661,1
31055,"Douglas County, Nebraska",261436,403,324896,960,1
31057,"Dundy County, Nebraska",658,271,576,678,1
31059,"Fillmore County, Nebraska",2104,278,2208,685,1
31061,"Franklin County, Nebraska",749,234,753,525,1
31063,"Frontier County, Nebraska",703,246,731,619,1
31065,"Furnas County, Nebraska",1551,234,1978,626,1
31067,"Gage County, Nebraska",8036,291,8925,621,1
31069,"Garden County, Nebraska",755,244,543,577,1
31071,"Garfield County, Nebraska",659,200,816,509,1
31073,"Gosper County, Nebraska",368,274,384,598,1
31075,"Grant County, Nebraska",225,249,273,480,0
31077,"Greeley County, Nebraska",630,211,605,534,1
31079,"Hall County, Nebraska",23370,329,34131,690,1
31081,"Hamilton County, Nebraska",2592,286,3427,706,1
31083,"Harlan County, Nebraska",880,229,803,548,1
31085,"Hayes County, Nebraska",193,276,203,589,1
31087,"Hitchcock County, Nebraska",684,284,674,655,1
31089,"Holt County, Nebraska",3348,238,4503,600,1
31091,"Hooker County, Nebraska",233,204,254,455,1
31093,"Howard County, Nebraska",970,238,1583,575,1
31095,"Jefferson County, Nebraska",2954,264,3253,610,1
31097,"Johnson County, Nebraska",1437,252,1640,646,1
31099,"Kearney County, Nebraska",1783,267,2243,633,1
31101,"Keith County, Nebraska",3167,264,3290,584,1
31103,"Keya Paha County, Nebraska",116,206,171,469,1
31105,"Kimball County, Nebraska",1367,270,1474,769,1
31107,"Knox County, Nebraska",2160,230,2873,547,1
31109,"Lancaster County, Nebraska",111667,361,162502,797,1
31111,"Lincoln County, Nebraska",9958,305,14286,678,1
31113,"Logan County, Nebraska",168,276,196,511,0
31115,"Loup County, Nebraska",41,178,109,413,1
31117,"McPherson County, Nebraska",60,181,84,558,2
31119,"Madison County, Nebraska",16114,318,21291,691,1
31121,"Merrick County, Nebraska",1799,281,2278,659,1
31123,"Morrill County, Nebraska",1118,266,1475,686,1
31125,"Nance County, Nebraska",927,234,1107,620,1
31127,"Nemaha County, Nebraska",2845,378,3113,887,1
31129,"Nuckolls County, Nebraska",1691,244,1412,552,1
31131,"Otoe County, Nebraska",4684,289,6045,688,1
31133,"Pawnee County, Nebraska",622,228,816,518,1
31135,"Perkins County, Nebraska",844,279,1142,700,1
31137,"Phelps County, Nebraska",4122,308,4704,728,1
31139,"Pierce County, Nebraska",1616,249,1969,610,1
31141,"Platte County, Nebraska",13990,346,18409,732,1
31143,"Polk County, Nebraska",1433,244,1468,598,1
31145,"Red Willow County, Nebraska",4404,274,5252,616,1
31147,"Richardson County, Nebraska",2597,249,2430,571,1
31149,"Rock County, Nebraska",554,225,434,646,1
31151,"Saline County, Nebraska",5025,351,6891,737,1
31153,"Sarpy County, Nebraska",20228,369,65652,800,1
31155,"Saunders County, Nebraska",3394,261,5066,623,1
31157,"Scotts Bluff County, Nebraska",14313,312,16635,659,1
31159,"Seward County, Nebraska",4982,306,6085,690,1
31161,"Sheridan County, Nebraska",1767,235,1741,538,1
31163,"Sherman County, Nebraska",759,204,785,498,1
31165,"Sioux County, Nebraska",182,243,150,570,1
31167,"Stanton County, Nebraska",1110,568,1317,1073,0
31169,"Thayer County, Nebraska",1931,241,2509,632,1
31171,"Thomas County, Nebraska",188,200,242,661,2
31173,"Thurston County, Nebraska",1991,289,2859,729,1
31175,"Valley County, Nebraska",1526,245,1726,577,1
31177,"Washington County, Nebraska",4492,376,8008,993,1
31179,"Wayne County, Nebraska",2628,266,4061,639,1
31181,"Webster County, Nebraska",895,216,1054,538,1
31183,"Wheeler County, Nebraska",247,279,320,761,1
31185,"York County, Nebraska",5830,294,7279,668,1
32001,"Churchill County, Nevada",5580,372,7608,790,1
32003,"Clark County, Nevada",359713,416,892916,853,1
32005,"Douglas County, Nevada",17473,369,18195,779,1
32007,"Elko County, Nevada",14341,361,20905,907,1
32009,"Esmeralda County, Nevada",374,438,376,994,1
32011,"Eureka County, Nevada",3864,645,4417,2160,2
32013,"Humboldt County, Nevada",5852,427,7813,1103,1
32015,"Lander County, Nevada",2586,546,3547,1579,1
32017,"Lincoln County, Nevada",1794,545,1151,660,0
32019,"Lyon County, Nevada",5007,351,11428,750,1
32021,"Mineral County, Nevada",2640,452,1168,804,0
32023,"Nye County, Nevada",11141,580,10966,931,0
32027,"Pershing County, Nevada",1670,444,1836,1039,1
32029,"Storey County, Nevada",658,407,5162,791,0
32031,"Washoe County, Nevada",137698,419,195429,851,1
32033,"White Pine County, Nevada",3829,403,4166,1037,1
32510,"Carson City, Nevada",20612,405,27861,880,1
33001,"Belknap County, New Hampshire",19948,360,24242,726,1
33003,"Carroll County, New Hampshire",14919,295,19224,617,1
33005,"Cheshire County, New Hampshire",28139,388,31588,778,1
33007,"Coos County, New Hampshire",13515,362,11694,652,0
33009,"Grafton County, New Hampshire",40841,385,52496,995,1
33011,"Hillsborough County, New Hampshire",164660,466,193840,1071,1
33013,"Merrimack County, New Hampshire",54017,410,74879,872,1
33015,"Rockingham County, New Hampshire",92987,422,138117,983,1
33017,"Strafford County, New Hampshire",37392,388,46150,957,1
33019,"Sullivan County, New Hampshire",13713,346,13672,734,1
34001,"Atlantic County, New Jersey",132305,444,119764,834,0
34003,"Bergen County, New Jersey",442947,569,430177,1232,1
34005,"Burlington County, New Jersey",153533,456,191840,1058,1
34007,"Camden County, New Jersey",203853,456,190972,964,1
34009,"Cape May County, New Jersey",27873,392,31593,736,0
34011,"Cumberland County, New Jersey",56098,425,56794,828,0
34013,"Essex County, New Jersey",379414,567,331067,1359,1
34015,"Gloucester County, New Jersey",70778,423,100096,847,1
34017,"Hudson County, New Jersey",229336,516,238841,1540,1
34019,"Hunterdon County, New Jersey",39304,534,45342,1306,1
34021,"Mercer County, New Jersey",206554,579,232240,1529,1
34023,"Middlesex County, New Jersey",350542,575,393474,1330,1
34025,"Monmouth County, New Jersey",206867,505,241338,995,0
34027,"Morris County, New Jersey",241179,616,277095,1768,1
34029,"Ocean County, New Jersey",102994,404,150312,792,0
34031,"Passaic County, New Jersey",188477,516,162569,969,0
34033,"Salem County, New Jersey",22732,558,19554,1154,1
34035,"Somerset County, New Jersey",131902,644,176106,2100,2
34037,"Sussex County, New Jersey",30628,413,37965,831,1
34039,"Union County, New Jersey",246278,574,215805,1333,1
34041,"Warren County, New Jersey",32315,465,32735,907,0
35001,"Bernalillo County, New Mexico",236272,399,313410,844,1
35003,"Catron County, New Mexico",538,309,625,522,0
35005,"Chaves County, New Mexico",19579,334,21502,625,0
35006,"Cibola County, New Mexico",4397,298,7958,645,1
35007,"Colfax County, New Mexico",4366,291,4899,557,0
35009,"Curry County, New Mexico",11092,287,17277,666,1
35011,"De Baca County, New Mexico",456,229,466,538,1
35013,"Dona Ana County, New Mexico",42120,330,69695,683,1
35015,"Eddy County, New Mexico",16127,374,28501,1100,1
